"id_customer","name","last_name","phone","email"
1,"Blanche","Conroy","55-3277-7576","Alejandra.Bernier@hotmail.com"
2,"Rhett","Green","55-2770-3823","Akeem_Yundt@gmail.com"
3,"Margret","McClure","55-8446-9321","Israel.Greenholt@gmail.com"
4,"Teresa","Schinner","55-8877-9175","Zaria31@yahoo.com"
5,"Alexis","Lockman","55-9864-9126","Charity_Anderson@yahoo.com"
6,"Rhianna","O'Connell","55-8753-6340","Mavis_Schaden@yahoo.com"
7,"Erling","Koss","55-6979-9360","Liana_Cremin32@gmail.com"
8,"Anderson","Schimmel","55-6977-6112","Jayne25@yahoo.com"
9,"Judd","Brown","55-2344-4153","Jailyn.Bernhard@yahoo.com"
10,"Itzel","Bashirian","55-4645-5346","Sandrine.Rolfson@gmail.com"
11,"Nyasia","Hane","55-2079-8582","Virgil.Zulauf@yahoo.com"
12,"Marion","Kessler","55-5015-7970","Shakira.Yost@yahoo.com"
13,"Chester","Boyer","55-7879-3764","Joshua_Kunde@yahoo.com"
14,"Vito","Abshire","55-3408-3439","Lynn44@yahoo.com"
15,"Lea","Weber","55-8263-2715","Moses_Vandervort65@gmail.com"
16,"Lysanne","Kessler","55-1705-7167","Glen.Gottlieb0@gmail.com"
17,"Pat","Herman","55-9924-5686","Cielo.Hettinger32@gmail.com"
18,"Cleora","Jacobi","55-9936-4130","Cayla_Rath6@hotmail.com"
19,"Maynard","Beier","55-0621-1184","Cesar.Donnelly24@hotmail.com"
20,"Maude","D'Amore","55-7101-0984","Alize.Lockman@gmail.com"
21,"Leonie","Larson","55-5329-6743","Oliver.Cruickshank76@hotmail.com"
22,"Katlynn","Quitzon","55-7505-5058","Francisco55@gmail.com"
23,"Erich","Cartwright","55-2745-7055","Devyn.Bauch92@hotmail.com"
24,"Brice","Jacobson","55-4684-5731","Reva_Effertz@yahoo.com"
25,"Reed","Daniel","55-6382-1698","Emil.Wintheiser46@gmail.com"
26,"Akeem","Lynch","55-7720-8663","Lauriane.OConner71@yahoo.com"
27,"Abraham","Kiehn","55-0812-6879","Dolly_Runolfsson23@hotmail.com"
28,"Mack","Blick","55-6065-0687","Santiago_Schultz60@yahoo.com"
29,"Gisselle","Schmitt","55-7396-8298","Cierra.Stanton33@hotmail.com"
30,"Jovani","Schmeler","55-6244-2049","Dangelo_Jones50@yahoo.com"
31,"Jalen","Buckridge","55-1604-7747","Haylee.Wolf@hotmail.com"
32,"Marisol","Sawayn","55-1833-5680","Christine59@yahoo.com"
33,"Hilda","Bradtke","55-0232-0145","Frederick49@hotmail.com"
34,"Austin","Watsica","55-9876-2895","Carter_Ledner64@gmail.com"
35,"Serena","Marks","55-8774-1867","Gerda9@gmail.com"
36,"Irwin","Bauch","55-8348-5350","Dolores_Wintheiser61@yahoo.com"
